cliente_id,fecha,agencia,edad,segmento,ingreso,saldo,producto
1,2025-11-01,Quetzaltenango,25,Premium,3819.00,24522.72,3503.06
2,2025-11-01,Zona 10,65,Joven,20870.00,35735.08,6087.75
3,2025-04-01,Petén,50,Adulto,22726.00,32879.64,5221.01
4,2025-08-01,Quetzaltenango,55,Premium,12115.00,25499.88,4787.35
5,2025-06-01,Zona 10,35,Joven,8094.00,29405.95,8315.87
6,2025-02-01,Cobán,40,Premium,14270.00,7691.39,2799.1
7,2025-07-01,Escuintla,23,Premium,21089.00,20473.67,7712.11
8,2025-12-01,Zona 10,22,Joven,4501.00,14064.80,2077.12
9,2025-07-01,Escuintla,35,Adulto,17857.00,17476.17,3565.26
10,2025-11-01,Petén,35,Premium,25997.00,40986.22,3879.76
11,2025-09-01,Petén,64,Joven,11021.00,31068.31,6671.63
12,2025-06-01,Escuintla,67,Adulto,28427.00,45925.61,6278.88
13,2025-02-01,Cobán,31,Adulto,21585.00,32439.61,3781.19
14,2025-08-01,Petén,27,Adulto,11679.00,37680.54,7542.64
15,2025-10-01,Quetzaltenango,45,Premium,22121.00,18187.16,5831.52
16,2025-02-01,Quetzaltenango,66,Premium,4543.00,29442.40,4117.53
17,2025-10-01,Petén,22,Adulto,15608.00,0.00,9512.63
18,2025-01-01,Escuintla,61,Premium,26616.00,43759.58,7740.85
19,2025-02-01,Escuintla,36,Premium,17246.00,25527.87,5135.15
20,2025-09-01,Petén,24,Joven,23489.00,19866.34,7723.57
21,2025-06-01,Petén,66,Joven,8293.00,4795.34,4149.38
22,2025-06-01,Escuintla,49,Joven,3638.00,33695.13,6227.8
23,2025-04-01,Zona 10,54,Premium,5580.00,36887.44,6182.71
24,2025-03-01,Petén,60,Premium,18574.00,31811.19,4606.14
25,2025-04-01,Escuintla,52,Adulto,27748.00,23988.57,3670.24
26,2025-11-01,Quetzaltenango,41,Joven,17355.00,35620.84,3707.35
27,2025-06-01,Zona 10,19,Joven,22277.00,9918.77,4114.26
28,2025-11-01,Escuintla,21,Joven,10501.00,27764.01,5207.65
29,2025-04-01,Petén,35,Premium,24921.00,10124.11,5227.85
30,2025-04-01,Zona 10,68,Premium,18498.00,27756.82,3783.98
31,2025-06-01,Zona 10,45,Joven,16470.00,6021.37,5664.91
32,2025-12-01,Quetzaltenango,39,Premium,29233.00,30857.12,3844.93
33,2025-03-01,Zona 10,45,Adulto,9012.00,23376.92,6492.05
34,2025-02-01,Zona 10,21,Joven,24369.00,47819.07,4982.85
35,2025-07-01,Zona 10,49,Joven,18773.00,27743.64,6972.66
36,2025-01-01,Escuintla,42,Adulto,11690.00,43840.89,3437.56
37,2025-12-01,Quetzaltenango,68,Adulto,21211.00,17712.49,3035.44
38,2025-01-01,Zona 10,55,Joven,27108.00,5772.99,4129.94
39,2025-08-01,Zona 10,50,Joven,20403.00,41778.02,9253.1
40,2025-10-01,Petén,22,Joven,25125.00,32886.05,3447.71
41,2025-10-01,Petén,20,Premium,23295.00,40284.48,6442.08
42,2025-05-01,Cobán,31,Joven,24945.00,23131.57,3556.15
43,2025-11-01,Zona 10,37,Joven,17982.00,16907.28,8054.67
44,2025-10-01,Escuintla,54,Joven,6276.00,32444.20,5615.18
45,2025-02-01,Petén,33,Premium,15108.00,22189.95,7096.02
46,2025-10-01,Petén,69,Adulto,24429.00,7477.02,4463.01
47,2025-02-01,Petén,26,Joven,11666.00,29272.95,5631.27
48,2025-05-01,Escuintla,56,Premium,9901.00,23363.60,3678.33
